,location,bath,balcony,price,bhk,total_area_in_sqrt
2224,Gottigere,2.0,2.0,65.0,3,1460.0
2225,Gottigere,3.0,2.0,70.0,3,1500.0
2226,Gottigere,3.0,3.0,72.0,3,1621.0
2227,Gottigere,1.0,1.0,26.0,1,812.0
2228,Gottigere,2.0,1.0,40.0,2,990.0
2229,Gottigere,2.0,2.0,63.0,2,1235.0
2230,Gottigere,3.0,2.0,64.0,3,1385.0
2231,Gottigere,2.0,1.0,35.0,2,1000.0
2232,Gottigere,2.0,1.0,35.0,2,1010.0
2234,Gottigere,2.0,2.0,45.0,2,1410.0
2236,Gottigere,2.0,3.0,62.0,3,1435.0
2237,Gottigere,2.0,0.0,45.0,2,945.0
2239,Gottigere,3.0,2.0,120.0,4,2500.0
2240,Gottigere,2.0,2.0,52.0,3,1230.0
2241,Gottigere,2.0,2.0,50.0,2,1120.0
2242,Gottigere,3.0,2.0,63.0,3,1500.0
2243,Gottigere,2.0,3.0,40.0,2,1200.0
2244,Gottigere,2.0,1.0,61.0,2,1280.0
2245,Gottigere,2.0,1.0,56.58,2,1205.0
2246,Gottigere,2.0,2.0,40.0,2,1170.0
2247,Gottigere,3.0,0.0,132.0,4,3000.0
2248,Gottigere,3.0,3.0,72.0,3,1613.0
2249,Gottigere,2.0,2.0,36.25,2,1110.0
2250,Gottigere,2.0,2.0,59.0,2,1245.0
2251,Gottigere,2.0,2.0,50.0,2,1200.0
2252,Green Glen Layout,3.0,2.0,120.0,3,1670.0
2253,Green Glen Layout,4.0,3.0,230.0,4,3250.0
2254,Green Glen Layout,3.0,2.0,105.0,3,1776.42
2255,Green Glen Layout,4.0,2.0,230.0,4,3250.0
2256,Green Glen Layout,2.0,1.0,56.8,2,940.0
2257,Green Glen Layout,2.0,1.0,60.0,2,1075.0
2258,Green Glen Layout,3.0,2.0,115.0,3,1715.0
2259,Green Glen Layout,2.0,1.0,115.0,3,1751.0
2260,Green Glen Layout,3.0,2.0,130.0,3,1750.0
2261,Green Glen Layout,3.0,2.0,105.0,3,1530.0
2262,Green Glen Layout,3.0,2.0,105.0,3,1752.0
2263,Green Glen Layout,4.0,3.0,95.0,3,1680.0
2264,Green Glen Layout,3.0,2.0,125.0,3,1728.0
2265,Green Glen Layout,3.0,2.0,110.0,3,1645.0
2266,Green Glen Layout,3.0,3.0,100.0,3,1517.0
2267,Green Glen Layout,4.0,3.0,218.0,4,3150.0
2269,Green Glen Layout,3.0,2.0,120.0,3,1750.0
2270,Green Glen Layout,3.0,2.0,115.0,3,1751.0
2271,Green Glen Layout,3.0,2.0,105.0,3,1750.0
2272,Green Glen Layout,3.0,2.0,135.0,3,1885.0
2273,Green Glen Layout,3.0,3.0,120.0,3,1715.0
2274,Green Glen Layout,2.0,2.0,105.0,3,1623.29
2275,Green Glen Layout,3.0,3.0,115.0,3,1715.0
2276,Green Glen Layout,3.0,2.0,105.0,3,1715.0
2277,Green Glen Layout,3.0,3.0,105.0,3,1600.0
2278,Green Glen Layout,3.0,3.0,125.0,3,1717.0
2279,Green Glen Layout,2.0,0.0,75.0,2,1250.0
2280,Green Glen Layout,3.0,3.0,112.0,3,1715.0
2281,Gubbalala,2.0,2.0,82.0,3,1470.0
2282,Gubbalala,3.0,2.0,104.0,3,1745.0
2283,Gubbalala,3.0,2.0,115.0,3,1745.0
2284,Gubbalala,3.0,2.0,110.0,3,1745.0
2285,Gubbalala,3.0,2.0,71.0,3,1650.0
2286,Gubbalala,4.0,2.0,141.0,5,2570.0
2287,Gubbalala,2.0,2.0,70.0,2,1205.0
2288,Gubbalala,2.0,2.0,80.0,3,1435.0
2289,Gubbalala,2.0,2.0,80.0,2,1475.0
2291,Gubbalala,2.0,2.0,49.5,2,1100.0
2292,Gubbalala,2.0,1.0,46.0,2,1060.0
2293,Gubbalala,3.0,3.0,125.0,3,2000.0
2295,Gunjur,2.0,3.0,43.0,2,1140.0
2296,Gunjur,2.0,3.0,66.0,3,1356.0
2297,Gunjur,3.0,3.0,75.0,3,1600.0
2298,Gunjur,3.0,0.0,95.0,4,2000.0
2299,Gunjur,2.0,2.0,49.11,2,1140.0
2300,Gunjur,2.0,2.0,44.0,2,1195.0
2301,Gunjur,2.0,2.0,40.0,2,1190.0
2302,Gunjur,2.0,3.0,60.0,2,1457.0
2303,Gunjur,2.0,2.0,41.0,2,1080.0
2306,Gunjur,2.0,2.0,43.48,2,1175.0
2307,Gunjur,3.0,2.0,62.63,3,1362.0
2308,Gunjur,2.0,1.0,51.0,2,1071.0
2309,Gunjur,2.0,2.0,40.0,2,1063.0
2310,Gunjur,2.0,2.0,52.76,2,1235.0
2311,Gunjur,3.0,1.0,62.63,3,1362.0
2312,Gunjur,3.0,1.0,62.63,3,1362.0
2313,Gunjur,2.0,3.0,90.0,3,1588.0
2314,Gunjur,2.0,2.0,44.5,2,1235.0
2315,Gunjur,2.0,3.0,60.0,2,1457.0
2316,HAL 2nd Stage,2.0,2.0,300.0,3,1490.0
2317,HAL 2nd Stage,3.0,2.0,252.0,3,2100.0
2318,HAL 2nd Stage,3.0,0.0,500.0,3,2700.0
2319,HAL 2nd Stage,4.0,1.0,500.0,5,2040.0
2320,HBR Layout,2.0,0.0,200.0,3,2800.0
2321,HBR Layout,3.0,2.0,95.0,3,1722.0
2322,HBR Layout,2.0,2.0,60.0,2,1200.0
2323,HBR Layout,2.0,1.0,49.0,2,1004.0
2324,HBR Layout,3.0,2.0,125.0,3,1783.0
2325,HBR Layout,3.0,2.0,90.0,3,1656.0
2326,HBR Layout,2.0,1.0,60.0,2,1089.0
2327,HBR Layout,3.0,1.0,110.0,3,1700.0
2328,HBR Layout,2.0,1.0,65.0,2,1198.0
2329,HBR Layout,2.0,0.0,120.0,2,1200.0
2330,HBR Layout,3.0,2.0,160.0,3,1832.0
2331,HRBR Layout,2.0,2.0,95.0,2,1374.0
2332,HRBR Layout,2.0,2.0,98.0,2,1440.0
2334,HRBR Layout,3.0,2.0,250.0,3,2800.0
2335,HRBR Layout,2.0,1.0,75.0,2,1210.0
2336,HRBR Layout,2.0,1.0,78.0,2,1265.0
2337,HRBR Layout,2.0,2.0,75.0,2,1170.0
2339,HRBR Layout,3.0,1.0,90.0,4,1900.0
2340,HRBR Layout,3.0,2.0,120.0,3,1625.0
2341,HRBR Layout,2.0,1.0,120.0,2,1301.0
2342,HRBR Layout,2.0,2.0,68.5,2,1145.0
2343,HRBR Layout,2.0,3.0,90.0,2,1300.0
2345,HSR Layout,2.0,1.0,68.0,2,1372.0
2347,HSR Layout,3.0,2.0,75.0,3,1475.0
2348,HSR Layout,2.0,1.0,55.0,2,1467.0
2349,HSR Layout,2.0,2.0,46.0,2,1140.0
2350,HSR Layout,2.0,1.0,61.0,2,1372.0
2351,HSR Layout,3.0,2.0,95.0,3,1750.0
2353,HSR Layout,2.0,2.0,44.0,2,1027.0
2354,HSR Layout,3.0,2.0,110.0,3,1650.0
2355,HSR Layout,2.0,2.0,46.0,2,1140.0
2356,HSR Layout,2.0,1.0,61.0,2,1372.0
2357,HSR Layout,2.0,2.0,46.0,2,1140.0
2358,HSR Layout,2.0,2.0,60.0,2,1185.0
2359,HSR Layout,2.0,1.0,68.0,2,1127.0
2360,HSR Layout,2.0,2.0,115.0,3,1600.0
2361,HSR Layout,2.0,2.0,48.0,2,1145.0
2362,HSR Layout,2.0,2.0,56.0,2,1009.0
2363,HSR Layout,2.0,2.0,98.0,2,1300.0
2365,HSR Layout,2.0,2.0,46.0,2,1140.0
2366,HSR Layout,2.0,1.0,69.0,2,1126.0
2368,HSR Layout,2.0,2.0,46.0,2,1140.0
2369,HSR Layout,2.0,2.0,46.0,2,1145.0
2370,HSR Layout,2.0,2.0,65.0,2,1142.0
2371,HSR Layout,2.0,2.0,46.0,2,1145.0
2372,HSR Layout,3.0,3.0,95.0,3,1844.0
2373,HSR Layout,2.0,2.0,72.0,2,1203.0
2374,HSR Layout,2.0,2.0,46.0,2,1140.0
2375,HSR Layout,5.0,2.0,245.0,5,4200.0
2376,HSR Layout,2.0,2.0,46.0,2,1140.0
2377,HSR Layout,2.0,2.0,46.0,2,1145.0
2378,HSR Layout,2.0,2.0,56.0,2,1009.0
2379,HSR Layout,2.0,2.0,46.0,2,1145.0
2380,HSR Layout,2.0,2.0,44.0,2,1100.0
2381,HSR Layout,2.0,2.0,60.0,2,1203.0
2382,HSR Layout,2.0,1.0,70.0,2,1120.0
2383,HSR Layout,2.0,2.0,46.0,2,1140.0
2384,HSR Layout,2.0,2.0,70.0,2,1289.0
2385,HSR Layout,3.0,1.0,89.0,3,1844.0
2386,HSR Layout,2.0,2.0,60.0,2,1203.0
2387,HSR Layout,2.0,2.0,46.0,2,1140.0
2388,"HSR Layout 7th sector,",3.0,2.0,152.0,3,1872.0
2389,Haralur Road,2.0,1.0,70.0,2,1240.0
2390,Haralur Road,2.0,2.0,44.0,2,1027.0
2392,Haralur Road,5.0,3.0,154.0,4,2805.0
2393,Haralur Road,2.0,2.0,47.0,2,1194.0
2394,Haralur Road,2.0,1.0,53.0,2,1202.0
2395,Haralur Road,2.0,1.0,61.0,2,1056.0
2397,Haralur Road,3.0,2.0,100.0,3,1810.0
2398,Haralur Road,2.0,2.0,46.0,2,1194.0
2399,Haralur Road,4.0,3.0,154.0,4,2805.0
2400,Haralur Road,2.0,1.0,67.38,2,1225.0
2401,Haralur Road,2.0,1.0,46.0,2,1243.0
2402,Haralur Road,2.0,2.0,44.0,2,1027.0
2403,Haralur Road,3.0,1.0,115.0,3,1920.0
2404,Haralur Road,3.0,2.0,110.0,3,1875.0
2405,Haralur Road,2.0,2.0,47.0,2,1194.0
2406,Haralur Road,2.0,2.0,43.0,2,1140.0
2407,Haralur Road,2.0,2.0,44.0,2,1027.0
2408,Haralur Road,2.0,2.0,46.0,2,1194.0
2409,Haralur Road,3.0,2.0,125.0,3,2017.0
2410,Haralur Road,2.0,2.0,43.0,2,1140.0
2411,Haralur Road,3.0,3.0,110.0,3,1875.0
2412,Haralur Road,2.0,2.0,44.0,2,1092.0
2413,Haralur Road,4.0,2.0,130.0,3,2475.0
2414,Haralur Road,2.0,2.0,73.0,2,1300.0
2415,Haralur Road,2.0,2.0,47.0,2,1194.0
2416,Haralur Road,2.0,2.0,46.0,2,1243.0
2417,Haralur Road,3.0,2.0,110.0,3,1850.0
2418,Haralur Road,2.0,1.0,67.38,2,1225.0
2419,Haralur Road,2.0,2.0,46.0,2,1243.0
2420,Haralur Road,2.0,2.0,56.0,2,1464.0
2421,Haralur Road,2.0,1.0,78.0,2,1230.0
2422,Haralur Road,2.0,2.0,44.0,2,1000.0
2423,Haralur Road,2.0,2.0,175.0,4,3185.0
2424,Haralur Road,2.0,2.0,79.0,2,1300.0
2425,Haralur Road,2.0,1.0,80.0,3,1444.0
2426,Haralur Road,2.0,1.0,68.0,2,1088.0
2427,Haralur Road,2.0,1.0,44.0,2,1027.0
2429,Haralur Road,2.0,1.0,70.0,2,1225.0
2431,Haralur Road,2.0,2.0,46.0,2,1194.0
2432,Haralur Road,3.0,2.0,101.0,3,1830.0
2433,Haralur Road,2.0,2.0,56.0,2,1464.0
2434,Haralur Road,2.0,2.0,96.0,3,1520.0
2435,Haralur Road,2.0,2.0,75.0,2,1300.0
2436,Haralur Road,2.0,2.0,125.0,3,2017.0
2437,Haralur Road,2.0,2.0,46.0,2,1243.0
2438,Haralur Road,2.0,2.0,44.0,2,1027.0
2439,Haralur Road,5.0,3.0,160.0,4,2805.0
2440,Haralur Road,2.0,2.0,46.0,2,1243.0
2441,Haralur Road,2.0,2.0,44.0,2,1027.0
2442,Haralur Road,3.0,2.0,105.0,3,2017.0
2443,Haralur Road,2.0,2.0,46.0,2,1243.0
2444,Haralur Road,2.0,2.0,46.0,2,1243.0
2445,Haralur Road,2.0,2.0,90.0,3,1520.0
2446,Haralur Road,2.0,2.0,60.0,2,1300.0
2447,Haralur Road,3.0,2.0,130.0,3,1985.0
2448,Haralur Road,2.0,1.0,60.0,2,1056.0
2449,Haralur Road,2.0,1.0,42.0,2,1140.0
2450,Haralur Road,2.0,3.0,62.0,2,1245.0
2451,Haralur Road,2.0,2.0,58.0,2,1140.0
2452,Haralur Road,2.0,2.0,42.0,2,1140.0
2453,Haralur Road,2.0,2.0,43.0,2,1027.0
2454,Haralur Road,2.0,2.0,47.0,2,1194.0
2455,Haralur Road,2.0,2.0,47.0,2,1194.0
2456,Haralur Road,3.0,1.0,90.0,3,1560.0
2457,Haralur Road,2.0,2.0,85.0,3,1520.0
2458,Haralur Road,2.0,2.0,45.0,2,1243.0
2459,Haralur Road,2.0,2.0,44.0,2,1027.0
2460,Haralur Road,2.0,2.0,46.0,2,1194.0
2461,Haralur Road,3.0,3.0,100.0,3,1650.0
2462,Haralur Road,3.0,1.0,73.0,3,1580.0
2463,Haralur Road,2.0,2.0,46.0,2,1243.0
2464,Haralur Road,2.0,2.0,47.0,2,1194.0
2465,Haralur Road,4.0,3.0,154.0,4,2805.0
2466,Haralur Road,2.0,2.0,96.0,3,1520.0
2467,Haralur Road,3.0,2.0,83.05,3,1510.0
2468,Haralur Road,2.0,1.0,65.0,2,1056.0
2469,Haralur Road,3.0,2.0,100.0,3,1810.0
2470,Haralur Road,2.0,2.0,46.0,2,1243.0
2471,Haralur Road,1.0,1.0,38.0,1,575.0
2472,Haralur Road,2.0,2.0,46.0,2,1194.0
2473,Haralur Road,2.0,2.0,46.0,2,1243.0
2474,Haralur Road,2.0,2.0,46.0,2,1194.0
2475,Haralur Road,2.0,2.0,43.0,2,1140.0
2476,Haralur Road,3.0,2.0,120.0,3,1850.0
2477,Haralur Road,2.0,2.0,47.0,2,1194.0
2478,Haralur Road,2.0,2.0,47.0,2,1194.0
2480,Haralur Road,2.0,1.0,46.0,2,1243.0
2481,Haralur Road,3.0,2.0,85.0,3,1710.0
2482,Haralur Road,3.0,1.0,95.0,3,1730.0
2483,Haralur Road,2.0,2.0,46.0,2,1243.0
2484,Haralur Road,2.0,2.0,46.0,2,1243.0
2485,Haralur Road,2.0,2.0,46.0,2,1243.0
2486,Haralur Road,3.0,2.0,110.0,3,1817.0
2487,Haralur Road,2.0,1.0,77.0,2,1225.0
2488,Haralur Road,2.0,1.0,78.0,2,1285.0
2489,Haralur Road,2.0,1.0,67.48,2,1225.0
2490,Haralur Road,2.0,1.0,69.84,2,1225.0
2491,Haralur Road,2.0,2.0,46.0,2,1200.0
2492,Haralur Road,2.0,1.0,85.0,2,1315.0
2493,Haralur Road,3.0,2.0,92.0,3,1976.0
2494,Haralur Road,2.0,2.0,75.0,2,1300.0
2495,Haralur Road,2.0,1.0,82.0,2,1309.0
2496,Haralur Road,1.0,2.0,44.0,2,1027.0
2497,Haralur Road,2.0,2.0,46.0,2,1243.0
2498,Haralur Road,2.0,2.0,46.0,2,1243.0
2499,Haralur Road,2.0,2.0,43.0,2,1140.0
2500,Haralur Road,2.0,1.0,75.0,2,1300.0
2501,Haralur Road,2.0,2.0,46.0,2,1243.0
2502,Haralur Road,3.0,2.0,84.0,3,1890.0
2503,Haralur Road,2.0,1.0,67.65,2,1230.0
2504,Haralur Road,2.0,2.0,46.0,2,1194.0
2505,Haralur Road,2.0,2.0,44.0,2,1092.0
2507,Haralur Road,3.0,2.0,97.0,3,1735.0
2508,Haralur Road,3.0,2.0,97.83,3,1810.0
2509,Haralur Road,2.0,2.0,46.0,2,1200.0
2510,Haralur Road,2.0,2.0,46.0,2,1243.0
2511,Haralur Road,3.0,2.0,112.0,3,1810.0
2512,"Haralur Road,",4.0,3.0,189.0,4,2597.0
2513,Harlur,2.0,1.0,69.0,2,1174.0
2514,Harlur,2.0,1.0,84.0,2,1197.0
2515,Harlur,3.0,2.0,132.0,3,1757.0
2516,Harlur,2.0,1.0,76.0,2,1174.0
2517,Harlur,3.0,2.0,125.0,3,1754.0
2518,Harlur,2.0,1.0,85.0,2,1290.0
2519,Harlur,3.0,2.0,116.0,3,1752.12
2520,Harlur,3.0,2.0,124.0,3,1754.0
2521,Harlur,2.0,2.0,69.0,2,1152.0
2522,Harlur,2.0,1.0,87.0,2,1290.0
2523,Harlur,3.0,2.0,115.0,3,1749.0
2524,Harlur,5.0,2.0,155.0,3,2240.0
2525,Harlur,3.0,2.0,133.0,3,1758.0
2527,Harlur,2.0,1.0,79.0,2,1197.0
2528,Harlur,2.0,1.0,78.0,2,1174.0
2530,Harlur,2.0,1.0,79.0,2,1197.0
2532,Harlur,2.0,1.0,75.0,2,1174.0
2533,Harlur,3.0,1.0,110.0,3,1620.0
2536,Harlur,3.0,2.0,133.0,3,1762.0
2537,Harlur,3.0,2.0,131.0,3,1756.0
2538,Harlur,3.0,2.0,130.0,3,1755.0
2539,Harlur,3.0,1.0,140.0,3,1864.0
2540,Harlur,2.0,1.0,88.0,2,1331.0
2541,Harlur,3.0,2.0,128.0,3,1756.0
2542,Harlur,3.0,2.0,120.0,3,1749.0
2543,Harlur,2.0,1.0,82.0,2,1197.0
2544,Harlur,2.0,1.0,90.0,2,1303.0
2545,Harlur,3.0,2.0,132.0,3,1754.0
2546,Harlur,2.0,1.0,75.0,2,1174.0
2547,Harlur,2.0,1.0,78.0,2,1197.0
2548,Harlur,2.0,1.0,89.9,2,1290.0
2549,Harlur,2.0,2.0,85.0,2,1386.0
2550,Harlur,2.0,1.0,74.0,2,1174.0
2551,Harlur,2.0,1.0,78.0,2,1174.0
2552,Harlur,3.0,2.0,115.0,3,1755.0
2555,Harlur,2.0,1.0,77.0,2,1197.0
2556,Harlur,3.0,2.0,125.0,3,1752.12
2557,Harlur,5.0,3.0,180.0,4,2569.0
2558,Harlur,2.0,1.0,76.0,2,1197.0
2559,Harlur,2.0,1.0,75.0,2,1197.0
2560,Harlur,3.0,2.0,117.0,3,1755.0
2561,Harlur,2.0,1.0,79.9,2,1197.0
2562,Harlur,4.0,1.0,225.0,4,2990.0
2563,Harlur,2.0,2.0,88.0,2,1370.0
2564,Harlur,2.0,0.0,72.76,2,1335.0
2565,Hebbal,2.0,2.0,123.0,3,1760.0
2566,Hebbal,4.0,0.0,477.0,4,5611.5
2568,Hebbal,2.0,1.0,98.2,2,1349.0
2569,Hebbal,5.0,2.0,212.0,4,2483.0
2570,Hebbal,2.0,2.0,130.0,3,1760.0
2571,Hebbal,5.0,2.0,260.0,3,3450.0
2572,Hebbal,3.0,2.0,134.0,3,1920.0
2573,Hebbal,2.0,1.0,82.0,2,1337.0
2574,Hebbal,2.0,1.0,98.0,2,1349.0
2577,Hebbal,3.0,2.0,127.0,3,1790.0
2578,Hebbal,5.0,3.0,198.0,4,2790.0
2579,Hebbal,5.0,2.0,215.0,4,2483.0
2580,Hebbal,2.0,2.0,55.0,2,812.0
2581,Hebbal,4.0,3.0,198.0,4,2790.0
2582,Hebbal,4.0,2.0,230.0,4,3067.0
2583,Hebbal,4.0,3.0,230.0,4,3067.0
2585,Hebbal,2.0,1.0,50.63,2,823.0
2586,Hebbal,2.0,1.0,123.0,2,1420.0
2587,Hebbal,2.0,1.0,99.39,2,1420.0
2588,Hebbal,4.0,2.0,365.0,4,4235.0
2589,Hebbal,3.0,2.0,124.0,3,1700.0
2590,Hebbal,2.0,1.0,99.39,2,1420.0
2592,Hebbal,2.0,1.0,115.0,2,1440.0
2594,Hebbal,4.0,1.0,180.0,3,2400.0
2596,Hebbal,2.0,2.0,107.0,2,1420.0
2597,Hebbal,2.0,1.0,92.0,2,1320.0
2598,Hebbal,2.0,1.0,49.0,2,919.0
2599,Hebbal,3.0,2.0,135.0,3,1645.0
2600,Hebbal,3.0,3.0,175.0,3,2080.0
2602,Hebbal,5.0,2.0,230.0,4,2483.0
2603,Hebbal,3.0,2.0,195.0,3,2600.0
2604,Hebbal,3.0,2.0,117.0,3,1645.0
2605,Hebbal,2.0,1.0,88.73,2,1251.0
2606,Hebbal,3.0,2.0,121.0,3,1645.0
2607,Hebbal,3.0,2.0,123.0,3,1760.0
2608,Hebbal,4.0,3.0,198.0,4,2790.0
2609,Hebbal,3.0,2.0,120.0,3,1645.0
2610,Hebbal,2.0,1.0,90.0,3,1255.0
2611,Hebbal,3.0,2.0,117.0,3,1645.0
2614,Hebbal,3.0,1.0,119.0,3,1636.0
2615,Hebbal,2.0,2.0,226.5,3,2661.0
2616,Hebbal,2.0,1.0,95.0,3,1255.0
2617,Hebbal,4.0,3.0,198.0,4,2790.0
2619,Hebbal,2.0,1.0,95.0,3,1255.0
2620,Hebbal,2.0,2.0,61.45,2,1088.0
2621,Hebbal,2.0,1.0,97.8,2,1349.0
2623,Hebbal,2.0,1.0,108.0,2,1344.0
2624,Hebbal,2.0,1.0,90.0,3,1255.0
2626,Hebbal,5.0,3.0,204.0,4,2790.0
2627,Hebbal,2.0,2.0,62.0,2,1088.0
2628,Hebbal,4.0,2.0,165.0,3,1987.0
2629,Hebbal,5.0,3.0,198.0,4,2790.0
2630,Hebbal,2.0,1.0,100.0,2,1299.0
2631,Hebbal,3.0,2.0,117.0,3,1645.0
2632,Hebbal,2.0,2.0,95.0,2,1390.0
2633,Hebbal,2.0,1.0,100.0,2,1333.0
2635,Hebbal,4.0,3.0,199.0,3,2650.0
2636,Hebbal,3.0,2.0,140.0,3,1800.0
2637,Hebbal,4.0,2.0,203.0,4,2470.0
2638,Hebbal,2.0,1.0,95.0,3,1255.0
2639,Hebbal,2.0,1.0,104.0,2,1333.0
2640,Hebbal,3.0,2.0,117.0,3,1645.0
2641,Hebbal,3.0,2.0,199.0,3,2600.0
2642,Hebbal,2.0,1.0,97.0,2,1345.0
2643,Hebbal,2.0,2.0,62.0,2,985.0
2644,Hebbal,2.0,1.0,91.0,2,1320.0
2645,Hebbal,3.0,1.0,195.0,3,2388.0
2646,Hebbal,2.0,1.0,55.0,2,1040.0
2647,Hebbal,3.0,2.0,195.0,3,2600.0
2648,Hebbal,5.0,0.0,188.0,4,2630.0
2649,Hebbal,5.0,3.0,198.0,4,2790.0
2652,Hebbal,2.0,1.0,99.39,2,1420.0
2654,Hebbal,5.0,2.0,320.0,3,3520.0
2655,Hebbal,2.0,1.0,69.0,2,1162.0
2656,Hebbal,2.0,1.0,60.0,2,1100.0
2657,Hebbal,5.0,3.0,364.0,4,4235.0
2658,Hebbal,2.0,1.0,97.0,2,1299.0
2660,Hebbal,5.0,2.0,192.0,4,2470.0
2661,Hebbal,3.0,2.0,117.0,3,1645.0
2662,Hebbal,3.0,2.0,134.0,3,1920.0
2664,Hebbal,3.0,2.0,150.0,3,1920.0
2665,Hebbal,4.0,2.0,189.0,4,2375.0
2666,Hebbal,2.0,1.0,99.26,2,1420.0
2667,Hebbal,2.0,1.0,92.0,2,1252.0
2668,Hebbal,4.0,3.0,198.0,4,2790.0
2669,Hebbal,2.0,1.0,115.0,2,1294.0
2670,Hebbal,6.0,0.0,359.0,4,4225.0
2671,Hebbal,2.0,1.0,137.0,3,1740.0
2673,Hebbal,3.0,2.0,155.0,3,1662.0
2674,Hebbal,2.0,1.0,98.0,2,1349.0
2675,Hebbal,6.0,1.0,370.0,4,4000.0
2676,Hebbal,2.0,1.0,96.8,2,1349.0
2677,Hebbal Kempapura,3.0,2.0,155.0,3,1700.0
2678,Hebbal Kempapura,3.0,2.0,175.0,3,1800.0
2679,Hebbal Kempapura,4.0,2.0,300.0,3,2900.0
2680,Hebbal Kempapura,3.0,2.0,380.0,3,3522.0
2681,Hebbal Kempapura,5.0,2.0,200.0,5,2280.0
2682,Hebbal Kempapura,2.0,1.0,125.0,2,1200.0
2683,Hebbal Kempapura,4.0,2.0,240.0,3,2900.0
2685,Hebbal Kempapura,2.0,2.0,102.0,2,1300.0
2686,Hebbal Kempapura,2.0,3.0,140.0,3,1466.0
2688,Hebbal Kempapura,2.0,1.0,165.0,3,1725.0
2689,Hebbal Kempapura,3.0,2.0,125.0,3,1200.0
2690,Hebbal Kempapura,3.0,3.0,260.0,3,3408.0
2691,Hebbal Kempapura,3.0,3.0,132.0,2,1485.0
2692,Hebbal Kempapura,2.0,2.0,108.0,2,1400.0
2693,Hebbal Kempapura,3.0,3.0,150.0,3,1800.0
2694,Hebbal Kempapura,5.0,2.0,200.0,5,2400.0
2695,Hebbal Kempapura,5.0,1.0,220.0,5,2800.0
2696,Hebbal Kempapura,3.0,0.0,165.0,3,1785.0
2697,Hebbal Kempapura,4.0,2.0,384.0,4,3729.0
2698,Hebbal Kempapura,3.0,3.0,170.0,3,1600.0
2699,Hebbal Kempapura,3.0,2.0,175.0,3,1730.0
2701,Hegde Nagar,3.0,1.0,101.0,3,1569.0
2702,Hegde Nagar,7.0,2.0,210.0,6,3000.0
2703,Hegde Nagar,3.0,2.0,132.0,3,2026.0
2704,Hegde Nagar,3.0,2.0,115.0,3,1801.0
2705,Hegde Nagar,1.0,2.0,56.0,2,1050.0
2706,Hegde Nagar,2.0,1.0,97.0,2,1341.0
2707,Hegde Nagar,4.0,2.0,145.0,3,2112.95
2708,Hegde Nagar,3.0,2.0,113.0,3,1703.0
2709,Hegde Nagar,3.0,1.0,105.0,3,1570.0
2710,Hegde Nagar,3.0,2.0,140.0,3,1801.0
2711,Hegde Nagar,3.0,1.0,103.0,3,1584.01
2712,Hegde Nagar,4.0,2.0,125.0,3,1965.0
2713,Hegde Nagar,2.0,0.0,75.0,2,1200.0
2714,Hegde Nagar,3.0,2.0,135.0,3,1847.0
2715,Hegde Nagar,4.0,2.0,132.0,3,1965.0
2716,Hegde Nagar,3.0,2.0,125.0,3,1703.0
2717,Hegde Nagar,3.0,2.0,125.0,3,1847.0
2718,Hegde Nagar,4.0,2.0,145.0,3,2144.6
2719,Hegde Nagar,3.0,2.0,119.0,3,1718.0
2720,Hegde Nagar,3.0,2.0,123.0,3,1847.0
2721,Hegde Nagar,2.0,2.0,72.0,2,1340.0
2722,Hegde Nagar,3.0,2.0,115.0,3,2087.01
2723,Hegde Nagar,3.0,2.0,130.0,3,1703.0
2724,Hegde Nagar,4.0,2.0,135.0,3,2087.01
2725,Hegde Nagar,3.0,2.0,130.0,3,1718.0
2726,Hegde Nagar,4.0,2.0,118.0,3,1884.0
2727,Hegde Nagar,4.0,2.0,122.0,3,1930.0
2728,Hegde Nagar,3.0,1.0,104.0,3,1584.01
2729,Hegde Nagar,4.0,2.0,129.0,3,2162.03
2730,Hegde Nagar,4.0,2.0,160.0,3,2087.01
2731,Hegde Nagar,2.0,0.0,66.0,2,1000.0
2732,Hegde Nagar,2.0,2.0,80.5,3,1348.0
2733,Hennur,2.0,1.0,52.0,2,1075.0
2734,Hennur,2.0,1.0,52.32,2,1255.0
2735,Hennur,2.0,1.0,57.0,2,1225.0
2736,Hennur,2.0,1.0,57.5,2,1255.0
2737,Hennur,2.0,2.0,57.0,2,1259.0
2738,Hennur,2.0,2.0,53.5,2,1255.0
2739,Hennur,2.0,1.0,60.0,2,1285.0
2740,Hennur,2.0,1.0,60.0,2,1285.0
2741,Hennur,2.0,1.0,60.0,2,1100.0
2742,Hennur,2.0,1.0,58.0,2,1255.0
2743,Hennur,2.0,2.0,42.12,2,1040.0
2744,Hennur,2.0,1.0,54.5,2,1255.0
2746,Hennur,2.0,1.0,55.5,2,1255.0
2748,Hennur,2.0,2.0,50.0,2,1231.0
2749,Hennur,5.0,2.0,125.0,5,2500.0
2750,Hennur,2.0,1.0,49.0,2,1160.0
2751,Hennur,3.0,2.0,135.0,3,2400.0
2752,Hennur,2.0,2.0,53.5,2,1255.0
2753,Hennur,2.0,2.0,55.5,2,1255.0
2754,Hennur,2.0,1.0,44.55,2,1100.0
2755,Hennur,2.0,1.0,57.5,2,1255.0
2756,Hennur,2.0,1.0,48.0,2,960.0
2757,Hennur,2.0,1.0,48.0,2,1020.0
2758,Hennur,2.0,1.0,52.32,2,1255.0
2759,Hennur,2.0,1.0,64.0,2,1295.0
